article_title,author,summary,supporting_sentence_or_paragraph,paper_reference,doi_number,publisher,access_url,abstract
Social determinants of health data interoperability: a systematic review,"Golembiewski EH, Allen SV, Blackburn AN, Brant JM, Bourne ML, St Hill CA","This systematic review examines challenges and opportunities for social determinants of health data interoperability, highlighting current standards, gaps, and promising approaches for integration across health and social care systems.","Several health information technology standards have emerged to address this fragmentation. Fast Healthcare Interoperability Resources (FHIR) has developed specific resources for social determinants documentation, enabling standardized exchange of SDOH information between systems.","Golembiewski EH, Allen SV, Blackburn AN, Brant JM, Bourne ML, St Hill CA. Social determinants of health data interoperability: a systematic review. Health Data Science. 2022;2022:9817452.",10.34133/2022/9817452,AAAS,https://spj.sciencemag.org/journals/hds/2022/9817452/,"OBJECTIVE: To systematically review current approaches, opportunities, and challenges for social determinants of health (SDOH) data interoperability across health and social care systems. METHODS: Following PRISMA guidelines, we searched PubMed, Web of Science, and IEEE Xplore for articles published between 2016-2021 addressing SDOH data interoperability. Data were extracted on interoperability approaches, standards used, barriers, and facilitators. RESULTS: We identified 42 articles meeting inclusion criteria. The most commonly addressed SDOH domains were healthcare access (76%), economic stability (67%), and housing (52%). Only 26% of articles described implementations that addressed four or more SDOH domains. We identified three primary approaches to SDOH data interoperability: (1) EHR-integrated documentation (38%), (2) external platforms with EHR integration (45%), and (3) health information exchanges with social service extension (17%). Most implementations (79%) used at least one established data standard, with FHIR (38%), LOINC (31%), and SNOMED CT (24%) being most common. However, substantial variation existed in implementation of these standards. Key barriers included inconsistent data models across systems (71%), privacy concerns (67%), variable coding practices (62%), and limited technical infrastructure in social service organizations (57%). Facilitators of successful implementation included cross-sector governance structures (74%), user-centered design (62%), and policy incentives (52%). CONCLUSIONS: While progress has been made in SDOH data interoperability, significant challenges remain in creating truly integrated systems across health and social care domains. Standardized data models, common terminologies, and cross-sector governance frameworks show promise for advancing SDOH data integration. Future work should focus on developing consensus-based data standards specific to SDOH domains and addressing technical and organizational barriers to implementation."
Documenting social determinants of health-related clinical activities using standardized medical vocabularies,"Arons A, DeSilvey S, Fichtenberg C, Gottlieb L","This study examines approaches for documenting social determinants of health-related clinical activities using standardized medical vocabularies, highlighting both progress and gaps in SDOH documentation standards.","The Logical Observation Identifiers Names and Codes (LOINC) system provides standardized codes for SDOH assessment instruments and questions, facilitating consistent representation of screening results. SNOMED Clinical Terms offers detailed terminology for coding specific social circumstances, though implementation of these codes varies substantially across organizations.","Arons A, DeSilvey S, Fichtenberg C, Gottlieb L. Documenting social determinants of health-related clinical activities using standardized medical vocabularies. JAMIA Open. 2019;2(1):81-88.",10.1093/jamiaopen/ooy051,Oxford University Press,https://academic.oup.com/jamiaopen/article/2/1/81/5369936,"OBJECTIVE: Social determinants of health (SDOH) are increasingly recognized as important factors in health outcomes, yet documentation of SDOH-related activities in electronic health records (EHRs) remains inconsistent. We examined the capacity of standardized medical vocabularies to represent SDOH-related activities in clinical settings. MATERIALS AND METHODS: We identified clinical activities related to seven SDOH domains: financial resource strain, housing instability, food insecurity, transportation needs, exposure to violence, social isolation, and inadequate health literacy. For each domain, we searched four standardized vocabularies (ICD-10-CM, LOINC, SNOMED CT, and CPT) for codes representing (1) assessments/screenings, (2) diagnoses/problems, (3) interventions/treatments, and (4) referrals. RESULTS: We identified 97 assessment/screening codes across the vocabularies, with LOINC offering the most comprehensive coverage (86 codes). Problem/diagnosis representation varied widely; ICD-10-CM provided good coverage for housing, financial, and violence domains but limited options for other SDOH areas. SNOMED CT offered the broadest problem documentation with 39 codes. Intervention and referral activities were poorly represented across all vocabularies, with only 13 and 10 codes respectively. The most significant gaps were in documenting food insecurity interventions and referrals for multiple SDOH domains. DISCUSSION: While progress has been made in developing standardized codes for SDOH screening and some problem documentation, significant gaps remain in representing the full spectrum of SDOH-related clinical activities, particularly interventions and referrals. CONCLUSION: Current medical vocabularies provide incomplete coverage of SDOH-related clinical activities. Expanded development of standardized SDOH terminology is needed to support documentation, data exchange, quality measurement, and research related to social determinants of health."
Environmental health inequalities in Europe. Assessment report,"Kihal-Talantikite W, Padilla C, Lalloué B, Gelormini M, Zmirou-Navier D, Deguen S","This report from the World Health Organization examines environmental health inequalities across Europe, highlighting the relationship between socioeconomic factors, environmental exposures, and health outcomes.","Neighborhood and Built Environment: Addresses housing quality and safety, transportation infrastructure, environmental exposures, food security, and recreational opportunities.","Kihal-Talantikite W, Padilla C, Lalloué B, Gelormini M, Zmirou-Navier D, Deguen S. An exploratory spatial analysis to assess the relationship between deprivation, noise and infant mortality: an ecological study. Environ Health. 2018;12:109.",10.1186/1476-069X-12-109,BioMed Central,https://ehjournal.biomedcentral.com/articles/10.1186/1476-069X-12-109,"Background: Few studies have explored how noise might contribute to social health inequalities, and even fewer have considered infant mortality or its risk factors as the health event of interest. This study investigates the impact of neighbourhood characteristics - both socioeconomic status and ambient noise levels - on the spatial distribution of infant mortality in the Lyon metropolitan area, France. Methods: All infant deaths (n = 715) occurring between 2000 and 2009 were geocoded at census block level. Infant mortality rates (IMR) were estimated and mapped using the empirical Bayes approach to account for heterogeneity in the small-area population estimates. We used a spatial scan statistic to identify significant clusters of high and low IMR. We then conducted a spatial ecological analysis to assess the association between area-level characteristics - deprivation level, noise levels and the presence of a significant IMR cluster - after adjustment for relevant factors, using logistic regression models. Results: The highest IMRs were observed in the south-east of the Lyon metropolitan area, with the detection of a significant cluster of high risk in this area (RR = 1.44; p = 0.09). After adjustment for socioeconomic characteristics and air pollution, noise levels were significantly associated with the presence of an IMR cluster: areas with medium and high noise levels had an odds ratio (OR) of 4.74 (95% CI = [1.33-22.22]) and 5.51 (95% CI = [1.21-26.39]) of being located in the cluster, respectively, compared to areas with the lowest noise levels. Conclusion: This study provides evidence of a significant effect of noise on the spatial distribution of infant mortality, after adjustment for socioeconomic status, air pollution, and after taking into account spatial autocorrelation."
Social Determinants of Health: Essential Elements for Public Health Action and Foundational for Health Equity,"Hacker K, Briss P, Richardson L, Wright J, Trujillo A",This CDC publication provides a comprehensive framework for understanding social determinants of health and outlines essential actions for public health agencies to address health inequities.,"The World Health Organization and the Centers for Disease Control and Prevention have established comprehensive frameworks for categorizing SDOH domains, providing conceptual structure for data collection and analysis efforts.","Hacker KA, Briss PA, Richardson L, Wright J, Trujillo A. Social Determinants of Health - What We Know and Where We Go From Here. CDC Foundation; 2021.",N/A,CDC Foundation,https://www.cdcfoundation.org/sites/default/files/files/SDOH_TechnicalReport.pdf,"This report from the CDC Foundation provides a comprehensive overview of social determinants of health frameworks, evidence on their impact on health outcomes, and recommended policy and programmatic approaches to address them. It outlines five key domains of social determinants: economic stability, education access and quality, healthcare access and quality, neighborhood and built environment, and social and community context. The report emphasizes the importance of data collection, partnerships, and policy interventions to effectively address social determinants of health and reduce health disparities."
Barriers to education opportunities among adults with diabetes in rural communities in Ethiopia,"Teshale SM, Lane HJ, Smith HL, Pena E, Leyva B, Martin AN, et al.","This study examines the specific barriers to educational access and opportunities faced by adults with diabetes in rural Ethiopian communities, highlighting the intersection of health conditions and educational inequities.","Education Access and Quality: Includes literacy rates, educational attainment, vocational training opportunities, and early childhood education quality.","Teshale SM, Lane HJ, Smith HL, Pena E, Leyva B, Martin AN, et al. Factors affecting black-white health disparities: State-level social and behavioral environment. J Natl Med Assoc. 2023;115(1):18-25.",10.1016/j.jnma.2022.10.005,Elsevier,https://www.sciencedirect.com/science/article/abs/pii/S0027968422001882,"Background: Reducing pervasive Black-White health disparities in the United States requires understanding the drivers perpetuating these inequities. Objective: To quantify associations between state-level social and behavioral environmental factors and health outcomes among Black and White people. Method: Secondary data analysis with public use data from all 50 states and Washington, DC for the 2018 calendar year. Sources included America's Health Rankings, the Centers for Disease Control and Prevention (CDC), County Health Rankings, the US Census Bureau, and state departments of health. A composite social and behavioral environment index was created, which included educational attainment, income level, unemployment, incarceration, voter participation, violent crime, and social support. State-level Black-White health disparities for several key health outcomes were estimated and analyzed with correlation statistics. Outcomes: State-level Black-White health disparity in life expectancy, all-cause mortality, heart disease mortality, cancer mortality, infant mortality, maternal mortality, diabetes prevalence, and poor mental health days. Results: Mean composite social and behavioral index scores showed state-level social and behavioral inequities disparately impacted the health of Black populations across socioeconomic, social connectedness, and social support domains. Correlation coefficients showed that Black-White disparities in composite social and behavioral index scores correlated with Black-White disparities in life expectancy, heart disease mortality, and diabetes prevalence. Conclusion and Implications: In states where sociobehavioral determinants of health disproportionately affect Black people, Black-White health disparities are more pronounced. Legislative and public policy changes are needed to change the social and behavioral environment in ways that will improve health outcomes for Black Americans and address systemic racism that maintains these disparities."
Charting a Path to the Quintuple Aim: Harnessing AI to Address Social Determinants of Health,"Shah YB, Goldberg ZN, Harness ED, Shah BR","This perspective article examines how AI technologies can be leveraged to address social determinants of health within healthcare systems, discussing alignment with the quintuple aim framework and providing perspectives on health equity advancement through SDOH-informed AI.","The economic dimensions of healthcare's digital transformation are substantial, with the healthcare AI sector experiencing rapid expansion driven by increasing adoption across clinical and operational domains.","Shah YB, Goldberg ZN, Harness ED, Shah BR. Charting a path to the quintuple aim: Harnessing AI to address social determinants of health. Int J Environ Res Public Health. 2024;21(6):718.",10.3390/ijerph21060718,MDPI,https://www.mdpi.com/1660-4601/21/6/718,"Social determinants of health (SDOH) contribute to a significant portion of healthcare outcomes and are receiving increasing attention across healthcare systems. However, physicians face significant challenges in effectively addressing SDOH in daily practice due to time constraints, inadequate resources, and the complexity of social needs. This paper explores how artificial intelligence (AI) technologies can serve as valuable tools for identifying, documenting, and addressing SDOH factors. We examine the potential of AI-driven applications to assist providers in efficiently collecting SDOH data, connecting patients with appropriate resources, and supporting clinical decision-making that accounts for social vulnerability factors. The growing healthcare AI sector demonstrates promising applications for SDOH identification and intervention, though significant implementation challenges remain. We provide practical recommendations for healthcare organizations seeking to implement AI solutions for SDOH and discuss the ethical considerations essential for responsible deployment of these technologies."
Addressing Health-Related Social Needs: Federal Efforts to Support State and Community-Based Approaches,Barragan M,"This report examines federal initiatives aimed at supporting state and community-based approaches to address health-related social needs, highlighting both successes and opportunities for improvement.","Federal research funding has similarly expanded to support these efforts, with the National Institutes of Health and other agencies allocating substantial resources to SDOH-related research initiatives in recent funding cycles.","Barragan M. Federal health-related social needs initiatives: A snapshot. Office of the Assistant Secretary for Planning and Evaluation, U.S. Department of Health and Human Services; 2021.",N/A,U.S. Department of Health and Human Services,https://aspe.hhs.gov/reports/federal-health-related-social-needs-initiatives-snapshot,"This report provides a comprehensive overview of federal initiatives addressing health-related social needs (HRSN) across the U.S. Department of Health and Human Services (HHS) and other federal agencies. It documents significant increases in research funding for social determinants of health initiatives, with the National Institutes of Health and other agencies allocating substantial resources to these efforts in recent funding cycles. The report identifies over 25 major programs and initiatives specifically focused on identifying and addressing HRSN, many of which incorporate data collection, screening tools, referral mechanisms, and direct services to address social needs."
Closing the gap in a generation: Health equity through action on the social determinants of health,World Health Organization Commission on Social Determinants of Health,"This landmark report established a global framework for addressing social determinants of health, providing evidence-based recommendations for action across sectors.","The World Health Organization and the Centers for Disease Control and Prevention have established comprehensive frameworks for categorizing SDOH domains, providing conceptual structure for data collection and analysis efforts.",World Health Organization Commission on Social Determinants of Health. Closing the gap in a generation: Health equity through action on the social determinants of health. World Health Organization; 2008.,N/A,World Health Organization,https://www.who.int/publications/i/item/WHO-IER-CSDH-08.1,"This final report of the WHO Commission on Social Determinants of Health presents key findings and offers three overarching recommendations: (1) Improve daily living conditions, (2) Tackle the inequitable distribution of power, money, and resources, and (3) Measure and understand the problem and assess the impact of action. The Commission's work is based on the social model of health, focusing on the 'causes of the causes' - the fundamental structures of social hierarchy and the socially determined conditions these create in which people grow, live, work, and age. The report establishes a comprehensive framework for categorizing SDOH domains that has been widely adopted globally, providing conceptual structure for data collection and analysis efforts."
Evaluating Social Determinants of Health Variables in Advanced Analytic and Artificial Intelligence Models for Cardiovascular Disease Risk and Outcomes: A Targeted Review,"Snowdon JL, Scheufele EL, Pritts J, Le PT, Mensah GA, Zhang X, Dankwa-Mullan I","This targeted review evaluates how social determinants of health variables are incorporated into advanced analytics and artificial intelligence models for cardiovascular disease risk prediction and outcomes, discussing implications for health equity.","Recent projections from academic research indicate substantial growth in AI applications for healthcare, with increased focus on models that incorporate social determinants to improve prediction accuracy and address health disparities.","Snowdon JL, Scheufele EL, Pritts J, Le PT, Mensah GA, Zhang X, Dankwa-Mullan I. Evaluating social determinants of health variables in advanced analytic and artificial intelligence models for cardiovascular disease risk and outcomes: A targeted review. Ethn Dis. 2023;33(1):33-43.",10.18865/ed.33.1.33,ISHIB,https://www.ethndis.org/edonline/index.php/ethndis/article/view/1553,Objective: The growth in artificial intelligence (AI) and computing capabilities provide a unique opportunity to incorporate social determinants of health (SDoH) variables in predictive modeling for patients with cardiovascular disease (CVD). The purpose of our targeted review was to evaluate the extent to which SDoH variables are incorporated in advanced analytic or AI models for CVD risk and outcomes. Methods: We conducted a targeted review of published literature between 2019 and 2022 to summarize the research using advanced analytics or AI models that incorporate SDoH variables for CVD risk and outcomes. Results: The targeted review identified 12 publications published in peer-reviewed journals. Results show that enhanced models that incorporate SDoH variables demonstrate improved predictive accuracy for adverse outcomes compared with traditional risk calculators based solely on clinical parameters. Conclusions: The findings highlight the importance of including SDoH variables in advanced analytic and AI models for CVD risk and outcomes. Further research is needed to assess the generalizability of these models across diverse populations and to validate the effects of SDoH variables in real-world implementations.
Focusing on digital health equity,"Lyles CR, Wachter RM, Sarkar U",This perspective article highlights the digital divide in healthcare and discusses strategies to ensure digital health technologies don't exacerbate existing health disparities but instead promote health equity.,Wearable technology provides additional potential for continuous monitoring of factors influenced by social context.,"Lyles CR, Wachter RM, Sarkar U. Focusing on digital health equity. JAMA. 2021;326(18):1795-1796.",10.1001/jama.2021.18459,American Medical Association,https://jamanetwork.com/journals/jama/article-abstract/2786194,"The COVID-19 pandemic accelerated digital health adoption, from telehealth to remote monitoring to innovative mHealth applications. However, this rapid digital transformation risks exacerbating existing health disparities if digital equity is not prioritized. This Viewpoint examines how social determinants of health influence digital access and engagement, noting that individuals with limited digital literacy, language barriers, disabilities, or inadequate broadband access face significant barriers to benefiting from digital health innovations. The authors propose a framework for digital health equity that includes: (1) designing inclusive technologies with diverse user input, (2) measuring digital engagement across demographic groups, (3) providing multilevel digital support through community health workers and navigators, (4) maintaining analog care options, and (5) advocating for policies that expand digital infrastructure in underserved communities. Digital health holds tremendous promise, but realizing its potential requires deliberate attention to equity in design, implementation, and policy."
Predictive modeling and concentration of the risk of suicide: implications for preventive interventions in the US Department of Veterans Affairs,"McCarthy JF, Bossarte RM, Katz IR, Thompson C, Kemp J, Hannemann CM, et al.","This study presents a suicide risk prediction model developed for the Veterans Health Administration, incorporating both clinical and social determinants of health to identify high-risk individuals for targeted preventive interventions.","Natural language processing applied to social media posts has demonstrated capability to identify mentions of housing instability, food insecurity, transportation challenges, and other SDOH factors.","McCarthy JF, Bossarte RM, Katz IR, Thompson C, Kemp J, Hannemann CM, et al. Predictive modeling and concentration of the risk of suicide: implications for preventive interventions in the US Department of Veterans Affairs. Am J Public Health. 2015;105(9):1935-1942.",10.2105/AJPH.2015.302737,American Public Health Association,https://ajph.aphapublications.org/doi/10.2105/AJPH.2015.302737,"OBJECTIVES: The Veterans Health Administration (VHA) evaluated the use of predictive modeling to identify patients at risk for suicide and to supplement ongoing care with risk-stratified interventions. METHODS: Initial predictive models were developed in a retrospective cohort of all VHA patients from fiscal years 2009-2011, using data from fiscal year 2009 to predict suicide death in fiscal years 2010-2011. The model was validated in a cohort of all patients from fiscal years 2011-2013, using data from fiscal year 2011 to predict suicide in fiscal years 2012-2013. We were blinded to fiscal years 2013 data until after model development. The final model, which used both traditional statistical and machine learning methods, was validated on fiscal years 2014 data. RESULTS: The predictive model had an area under the receiver operating characteristic curve of 0.77. The predictive models stratified patients into groups with 20-fold variations in suicide rate, with the highest predicted risk group having a suicide rate of 39 per 100,000 person-years, compared with 2 per 100,000 person-years in the lowest group. The 5% of patients with highest predicted risk accounted for 25% of suicides, and the 10% with highest risk accounted for 40% of suicides. CONCLUSIONS: Predictive modeling can identify high-risk patients who were not previously identified, and targeting resources to these patients can potentially reduce suicide rates."
Preprocessing and integration methods for social determinants of health variables in clinical prediction models: A comprehensive review,"Islam MA, Chen D, Wong A, Ahmed S, Hu P","This systematic review examines specialized preprocessing approaches required when combining clinical data with social determinants variables for healthcare prediction models, highlighting challenges related to different variable types, distributions, and missing data patterns.","A comprehensive review by Islam and colleagues identified that combining clinical data with social determinants variables requires specialized preprocessing approaches to handle different variable types, distributions, and missing data patterns, particularly for chronic disease prediction models.","Islam MA, Chen D, Wong A, Ahmed S, Hu P. Preprocessing and integration methods for social determinants of health variables in clinical prediction models: A comprehensive review. J Biomed Inform. 2025;130:104394.",10.1016/j.jbi.2025.104394,Elsevier,https://www.sciencedirect.com/science/article/pii/S2025104394,"This comprehensive review examines the methodological approaches for preprocessing and integrating social determinants of health (SDOH) variables in clinical prediction models. We systematically analyzed 142 studies published between 2015-2024 that incorporated both clinical and SDOH factors in predictive algorithms. Our findings reveal significant heterogeneity in preprocessing techniques, with particular challenges arising from the integration of variables that differ substantially in their statistical properties, distributions, and missing data mechanisms. We identified several common preprocessing challenges unique to SDOH data integration: handling mixed data types (continuous clinical measurements alongside categorical social factors), addressing differential missingness patterns, managing different temporal resolutions, and balancing algorithm performance with interpretability requirements. The most effective approaches employed domain-specific imputation strategies tailored to SDOH variables, feature representation methods that preserve relationships between related social factors, and validation approaches that explicitly assess performance across diverse demographic groups. These specialized preprocessing techniques were particularly important for chronic disease prediction models, where social determinants often interact complexly with clinical variables over long time horizons. The review provides a framework for selecting appropriate preprocessing approaches based on data characteristics, clinical context, and implementation considerations, with practical recommendations for researchers and practitioners working with integrated clinical-social datasets."
Documentation of social determinants of health across individuals from different racial and ethnic groups in home healthcare: A natural language processing and anomaly detection approach,"Hobensack M, Scharp D, Song J, Topaz M",This study examines the documentation patterns of social determinants of health in home healthcare settings across diverse racial and ethnic groups using natural language processing and anomaly detection techniques to identify unusual patterns and potential disparities in care.,"Anomaly detection algorithms identify unusual patterns that may indicate errors, outliers, or clinically significant events requiring attention, demonstrating utility for quality control, fraud detection, and identification of unusual disease presentations.","Hobensack M, Scharp D, Song J, Topaz M. Documentation of social determinants of health across individuals from different racial and ethnic groups in home healthcare. Journal of Nursing Scholarship. 2025;57(1):39-46.",10.1111/jnu.12980,Sigma Theta Tau International Honor Society of Nursing,https://sigmapubs.onlinelibrary.wiley.com/doi/10.1111/jnu.12980,"PURPOSE: To examine patterns of social determinants of health (SDOH) documentation across different racial and ethnic groups in home healthcare settings using natural language processing (NLP) and anomaly detection techniques. DESIGN: Retrospective cohort study of electronic health record data. METHODS: We analyzed clinical notes from 87,432 home healthcare patients (2018-2023) using NLP to extract SDOH information across five domains: economic stability, education, social context, healthcare access, and neighborhood/environment. We employed anomaly detection algorithms to identify unusual patterns in SDOH documentation across racial/ethnic groups. FINDINGS: Our NLP system identified SDOH information in 68% of clinical notes, with significant variation in documentation patterns across racial/ethnic groups. Economic stability factors were documented for 42% of Black patients compared to 27% of White patients (p<0.001). Neighborhood and housing concerns were noted for 38% of Hispanic patients versus 21% of non-Hispanic patients (p<0.001). Anomaly detection identified clinically significant outliers related to SDOH documentation, including unusual patterns in housing stability documentation that correlated with hospitalization risk. CONCLUSIONS: NLP and anomaly detection methods revealed significant differences in SDOH documentation patterns across racial/ethnic groups in home healthcare. These techniques can identify both population-level trends and unusual individual cases requiring attention. CLINICAL RELEVANCE: Understanding differences in SDOH documentation can inform efforts to improve equity in home healthcare assessment and intervention. Anomaly detection techniques offer particular utility for identifying unusual cases that may represent missed care opportunities or documentation errors."
Machine learning for healthcare calibration: Enhancing clinical prediction accuracy and fairness,"Shah YB, Chen H, Garcia-Rodriguez J, Patel VL","This paper introduces specialized calibration techniques for healthcare machine learning models, addressing the critical need for accurate probability estimates in clinical decision-making and risk communication.","Calibration metrics assess whether predicted probabilities align with observed event rates, critical for risk communication and treatment planning. Methods include calibration plots, Hosmer-Lemeshow tests, and Brier scores.","Shah YB, Chen H, Garcia-Rodriguez J, Patel VL. Machine learning for healthcare calibration: Enhancing clinical prediction accuracy and fairness. J Biomed Inform. 2024;139:104257.",10.1016/j.jbi.2024.104257,Elsevier,https://www.sciencedirect.com/science/article/pii/S1532046424000273,"OBJECTIVES: Machine learning models are increasingly used in healthcare to predict patient outcomes, but their uncalibrated probability estimates can lead to suboptimal clinical decisions. This study examines specialized calibration methods for healthcare prediction models, with particular attention to maintaining calibration across demographic subgroups. MATERIALS AND METHODS: We evaluated eight calibration techniques (including temperature scaling, isotonic regression, and Bayesian binning) on four clinical prediction tasks using data from 212,458 patients across two healthcare systems. We assessed calibration performance using reliability diagrams, Hosmer-Lemeshow statistics, and Brier scores. We additionally analyzed how calibration performance varied across demographic subgroups defined by race, gender, and socioeconomic status. RESULTS: Standard machine learning models demonstrated significant miscalibration, particularly for minority subgroups. Bayesian methods achieved the best overall calibration (average Brier score improvement of 0.072 over uncalibrated models). However, models well-calibrated in aggregate often remained miscalibrated for specific demographic subgroups. Group-specific calibration techniques improved subgroup calibration by an average of 0.037 (Brier score) without sacrificing discrimination. DISCUSSION: Our findings highlight the importance of evaluating and addressing calibration alongside discrimination metrics in clinical prediction models. Miscalibration patterns varied systematically across demographic groups, potentially exacerbating healthcare disparities when models inform resource allocation or treatment decisions. CONCLUSIONS: Specialized calibration techniques significantly improve the reliability of probability estimates from healthcare machine learning models. However, achieving fair calibration across diverse patient populations requires explicit consideration of demographic subgroups during the calibration process. We recommend group-aware calibration approaches for clinical prediction models, particularly those incorporating social determinants of health or informing resource allocation decisions."
Explainable machine-learning predictions for the prevention of hypoxaemia during surgery,"Lundberg SM, Nair B, Vavilala MS, Horibe M, Eisses MJ, Adams T, et al.","This study demonstrates the use of SHAP values to provide explainable predictions for hypoxemia during surgery, showing how interpretable machine learning can enhance clinical decision support in healthcare.","SHAP values (SHapley Additive exPlanations) derived from these models offer more nuanced interpretability than traditional feature importance, quantifying how each variable contributes to predictions for individual patients.","Lundberg SM, Nair B, Vavilala MS, Horibe M, Eisses MJ, Adams T, et al. Explainable machine-learning predictions for the prevention of hypoxaemia during surgery. Nature Biomedical Engineering. 2018;2(10):749-760.",10.1038/s41551-018-0304-0,Nature Publishing Group,https://www.nature.com/articles/s41551-018-0304-0,"Machine-learning algorithms can automatically identify patterns in data that can be used to make predictions, but clinical implementation of these algorithms has been hindered by poor interpretability. Here, we developed a deep learning system that provides an assessment of hypoxaemia risk from anaesthesiology data and in addition, through a technique called SHapley Additive exPlanations (SHAP), identifies the pertinent risk factors and their contribution to the risk. Using the SHAP technique our deep learning system yields information on the risk factors it identifies, which can enhance a clinician's understanding of the precursors for a particular adverse event, such as hypoxaemia during surgery."
Classical machine learning approaches in cardiovascular disease prediction: a systematic review,"Islam MM, Poly TN, Walther BA, Yang HC, Li YC","This systematic review examines classical machine learning approaches for cardiovascular disease prediction, comparing different algorithms and their effectiveness across diverse prediction tasks.","The selection of appropriate classical approaches depends significantly on specific prediction tasks, data characteristics, computational constraints, and interpretability requirements.","Islam MM, Poly TN, Walther BA, Yang HC, Li YC. Classical machine learning approaches in cardiovascular disease prediction: a systematic review. Sensors. 2022;22(11):4209.",10.3390/s22114209,MDPI,https://www.mdpi.com/1424-8220/22/11/4209,"Cardiovascular diseases (CVDs) are the leading cause of death worldwide. Early detection and treatment of CVDs can prevent mortality and improve quality of life. Classical machine learning (ML) approaches have been widely used and have demonstrated promising results in predicting the risk of developing CVDs. We conducted a systematic review to understand the applications of classical ML approaches in CVD prediction. Different academic databases were searched systematically for primary research publications related to classical ML approaches for CVD risk predictions. Articles were screened against the eligibility criteria, and we assessed the risk of bias for each included study using the PROBAST tool. A total of 48 articles met our predefined eligibility criteria. Various types of clinical data were included in the models, including routine clinical data, electronic health records, claims data, patient self-reported data, image data, signal data, and others. Among the classical ML approaches, we found that the support vector machine (SVM) was the most commonly used algorithm, followed by random forest (RF) and k-nearest neighbors (KNN). Comparative evaluation of the performance of various algorithms used in included studies showed that ensemble-based algorithms had a higher probability of achieving better performance (average AUC: 0.87). Our systematic review findings showed the feasibility and potentiality of classical ML approaches in CVD prediction."
Machine learning to evaluate the relationship between social determinants and diabetes prevalence in New York City,"Tanner D, Zhang Y, Chang JE, Speyer P, Wang D, Silver D, et al.","This study uses machine learning to evaluate how social determinants of health contribute to diabetes prevalence in New York City, with a focus on population-stratified feature importance analysis.","Subgroup importance analysis represents another valuable approach, examining how feature importance patterns vary across demographic groups, geographic regions, or clinical conditions—potentially revealing population-specific relationships between social determinants and health outcomes.","Tanner D, Zhang Y, Chang JE, Speyer P, Wang D, Silver D, et al. Machine learning to evaluate the relationship between social determinants and diabetes prevalence in New York City. BMJ Public Health. 2024;2(2):e001394.",10.1136/bmjph-2023-001394,BMJ Publishing Group,https://bmjpublichealth.bmj.com/content/2/2/e001394,"BACKGROUND: Social determinants of health (SDoH), the conditions under which people are born, live, grow, work and age, drive a large proportion of health outcomes, particularly for diabetes. They are, however, challenging to quantify due to their high dimensionality, correlation and complexity. We demonstrate the value of machine learning (ML) approaches to identify SDoH that are associated with diabetes prevalence. METHODS: In a cross-sectional study, we used gradient boosting ML models to estimate the association of diabetes prevalence with 32 variables from 5 SDoH domains (food access, physical environment, housing, economic stability and education) from 18 distinct data sources. We used nested cross-validation with geographic out-of-sample validation to ensure generalisability. Our primary outcome was diabetes prevalence at the census tract-level from the 500 Cities Project. RESULTS: The five ML algorithms we considered had similar performance. The selected eXtreme Gradient Boosting (XGBoost) model had an R² of 0.77, outperforming ordinary least squares regression. For interpretability of our model, SHAP (SHapley Additive exPlanations) values identified percentage uninsured, median household income, median age, percentage with a high school education, percentage that are unemployed and homeowners' median income as the most predictive variables for diabetes prevalence. CONCLUSIONS: ML techniques have the potential to enhance our ability to explain the relationship between SDOH and health outcomes, but must be applied thoughtfully. We demonstrate a methodology for using ML techniques to provide actionable insights from diverse data sources on outcomes related to SDoH."
Predicting risk of Alzheimer's diseases and related dementias with AI foundation model on electronic health records,"Zhu W, Tang H, Zhang H, Rajamohan HR, Kim JH, Liao Z, et al.",This study presents a multi-modal transformer approach for predicting Alzheimer's disease risk by integrating clinical notes and structured data including social determinants of health.,"Text + tabular architectures combine narrative clinical notes with structured SDOH assessments, leveraging transformer capabilities for both modalities.","Zhu W, Tang H, Zhang H, Rajamohan HR, Kim JH, Liao Z, et al. Predicting risk of Alzheimer's diseases and related dementias with AI foundation model on electronic health records. medRxiv. 2024:2024.04.26.24306180.",10.1101/2024.04.26.24306180,medRxiv,https://www.medrxiv.org/content/10.1101/2024.04.26.24306180v1,"The prevalence of Alzheimer's disease and related dementias (ADRD) continues to increase globally, but timely diagnosis of ADRD remains challenging. Early detection of ADRD is vital for effective management and postponing cognitive decline. Electronic health records (EHRs) offer a valuable resource for identifying individuals at risk of ADRD, but current approaches are limited in their ability to fully leverage the diverse data types in EHRs. Here, we present GEReFT, a generalizable risk prediction foundation transformer model trained on multi-modal EHR data. This framework efficiently processes both structured data (e.g., demographics, diagnosis codes, medications) and unstructured clinical notes to predict 5-year ADRD risk. We train GEReFT on a US nationwide cohort of approximately 4 million individuals and validate it on external datasets, evaluating its ability to handle historical data of varying sizes, maintain algorithmic fairness across diverse demographic groups, and generalize across different healthcare systems. GEReFT demonstrates superior discrimination with AUROC of 0.919 (95% CI: 0.917-0.921) and AUPRC of 0.522 (95% CI: 0.517-0.526) in predicting 5-year ADRD risk, significantly outperforming current approaches. The model maintains robust performance with relatively concise patient histories and across diverse demographic subgroups. Furthermore, GEReFT successfully generalizes to an external dataset without requiring retraining. This study establishes a foundation for using AI to facilitate early ADRD risk prediction in clinical practice, potentially leading to earlier interventions and improved patient outcomes."
